college,section,credits,instructor,dates,location
Alamance Community College,EDU-262-51E (7539) Early Childhood Admin II,3,C. Sykes,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-280-01E (7540) Language/Literacy Experiences,3,E. Kroenung,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-284-01E (7541) Early Child Capstone Prac,4,J. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,EFL-055-01E (7823) English for Special Purpo,3,J. Talvitie-Siple,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-071-01E (7824) Reading I,5,J. Talvitie-Siple,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-072-01E (7825) Reading II,5,J. Talvitie-Siple,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-073-01E (7826) Reading III,5,J. Talvitie-Siple,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-074-01E (7827) Reading IV,5,J. Talvitie-Siple,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-091-01E (7828) Composition I,5,To be Announced,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EFL-092-01E (7829) Composition II,5,To be Announced,01/11/2021-05/11/2021,Online Course
Alamance Community College,EFL-093-01E (7830) Composition III,5,To be Announced,01/11/2021-05/11/2021,Online Course
Alamance Community College,EFL-094-01E (7831) Composition IV,5,To be Announced,01/11/2021-05/11/2021,Online Course
Alamance Community College,EGR-150-01E (7817) Intro to Engineering,2,To be Announced,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,EGR-220-01H (7818) Engineering Statics,3,To be Announced,"01/11/2021-05/11/2021 Classroom Hours Tuesday 12:45PM - 02:05PM, Graham Main Bldg, Room 00393 (more)...",Graham Campus
Alamance Community College,EGR-285-01 (7389) Design Project,2,R. Roberts,"01/15/2021-05/07/2021 Lab/Shop Hours Friday 08:00AM - 12:00PM, Adv Applied Technology Ctr, Room T130",Graham Campus
Alamance Community College,ELC-213-01H (7388) Instrumentation,4,Z. Uzodimma,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,ELC-228-01H (7390) PLC Applications,4,J. McCormick,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,ENG-002-01E (7148) Transition English,3,To be Announced,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-02E (7149) Transition English,3,J. Wilson,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-03E (7150) Transition English,3,J. Wilson,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-04E (7151) Transition English,3,R. Solomon,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-05E (7152) Transition English,3,I. Walker,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-06E (7153) Transition English,3,K. Noland,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-07E (7154) Transition English,3,S. Sink,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-08E (7155) Transition English,3,H. Hall,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-002-81E (7156) Transition English,3,J. Wilson,"02/09/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-011-01E (7618) Writing and Inquiry Support,2,I. Bostic,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-03E (7620) Writing and Inquiry Support,2,M. Makufka,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-05EL (7621) Writing and Inquiry Support,2,A. Chase,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 11:15AM - 12:35PM, Distance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-07E (7622) Writing and Inquiry Support,2,R. Solomon,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-09E (7623) Writing and Inquiry Support,2,E. Voltz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-11E (7624) Writing and Inquiry Support,2,H. Hall,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-12E (7625) Writing and Inquiry Support,2,A. Marano,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-14E (7626) Writing and Inquiry Support,2,M. Sherbondy,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-81E (7627) Writing and Inquiry Support,2,S. Heckler,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-011-82E (7628) Writing and Inquiry Support,2,I. Walker,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,ENG-110-01E (7629) Freshman Composition,3,H. Muniz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-110-02E (7635) Freshman Composition,3,I. Walker,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-01E (7636) Writing and Inquiry,3,I. Bostic,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-01EC (7637) Writing and Inquiry,3,I. Bostic,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-02E (7638) Writing and Inquiry,3,I. Bostic,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-02EC (7639) Writing and Inquiry,3,I. Bostic,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-03E (7640) Writing and Inquiry,3,M. Makufka,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-03EC (7641) Writing and Inquiry,3,M. Makufka,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-04E (7643) Writing and Inquiry,3,M. Makufka,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-04EC (7642) Writing and Inquiry,3,M. Makufka,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-05ECL (7723) Writing and Inquiry,3,A. Chase,"01/12/2021-05/06/2021 Online Class Tuesday, Thursday 09:30AM - 10:50AM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-05EL (7722) Writing and Inquiry,3,A. Chase,"01/12/2021-05/06/2021 Online Class Tuesday, Thursday 09:30AM - 10:50AM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-06E (7644) Writing and Inquiry,3,A. Chase,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-06EC (7645) Writing and Inquiry,3,A. Chase,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-07E (7646) Writing and Inquiry,3,R. Solomon,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-07EC (7647) Writing and Inquiry,3,R. Solomon,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-08E (7648) Writing and Inquiry,3,R. Solomon,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-08EC (7649) Writing and Inquiry,3,R. Solomon,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-09E (7650) Writing and Inquiry,3,E. Voltz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-09EC (7651) Writing and Inquiry,3,E. Voltz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-10E (7652) Writing and Inquiry,3,E. Voltz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-10EC (7653) Writing and Inquiry,3,E. Voltz,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-11E (7654) Writing and Inquiry,3,H. Hall,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-11EC (7655) Writing and Inquiry,3,H. Hall,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-12E (7656) Writing and Inquiry,3,A. Marano,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-12EC (7657) Writing and Inquiry,3,A. Marano,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-13E (7658) Writing and Inquiry,3,A. Marano,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-13EC (7659) Writing and Inquiry,3,A. Marano,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-14E (7660) Writing and Inquiry,3,T. Drago,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-14EC (7661) Writing and Inquiry,3,T. Drago,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-15EL (7724) Writing and Inquiry,3,P. Craven,"01/11/2021-05/07/2021 Online Class Monday, Wednesday, Friday 09:05AM - 10:00AM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-16E (7662) Writing and Inquiry,3,P. Craven,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-17E (7663) Writing and Inquiry,3,A. Chase,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-18E (7664) Writing and Inquiry,3,H. Hall,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-19E (7666) Writing and Inquiry,3,P. Craven,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-20E (7965) Writing and Inquiry,3,D. Bufter,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-41E (7667) Writing and Inquiry,3,D. Miller,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-81E (7668) Writing and Inquiry,3,S. Heckler,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-81EC (7669) Writing and Inquiry,3,S. Heckler,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-82E (7670) Writing and Inquiry,3,I. Walker,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-111-82EC (7671) Writing and Inquiry,3,I. Walker,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-112-01EL (7725) Writing/Research in the Disc,3,P. Craven,"01/11/2021-05/07/2021 Online Class Monday, Wednesday, Friday 11:15AM - 12:10PM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,ENG-112-02E (7672) Writing/Research in the Disc,3,G. Yount,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
